Aspect Ratio,Tan Delta
2.921443302655855,-6.236755843423003,0.18% TiO2/Nylon 11
4.058503343127946,-6.408021242044076,0.18% TiO2/Nylon 11
5.046685775445223,-6.18925657510824,0.18% TiO2/Nylon 11
2.921443302655855,2.3770931453246886,0.4% TiO2/Nylon 11
4.058503343127946,3.8434324459484364,0.4% TiO2/Nylon 11
5.046685775445223,5.1797483329834675,0.4% TiO2/Nylon 11
2.921443302655855,3.3635742216775797,0.28% TiO2/Nylon 11
4.058503343127946,4.257935872734595,0.28% TiO2/Nylon 11
5.046685775445223,3.267077888639754,0.28% TiO2/Nylon 11
2.921443302655855,-5.449242698851242,0.3% TiO2/Nylon 11
4.058503343127946,-5.6193710354994355,0.3% TiO2/Nylon 11
5.046685775445223,-5.634123332050903,0.3% TiO2/Nylon 11
2.921443302655855,-1.932557093496782,0.38% TiO2/Nylon 11
4.058503343127946,-1.7359011615626363,0.38% TiO2/Nylon 11
5.046685775445223,-1.7685053240171773,0.38% TiO2/Nylon 11
