Calcination Time (h),Compressive Modulus (GPa)
7.084130641486734,2.2620458734704547,0.08% ZrO2/Poly(vinyl pyrrolidone)
10.682079138635764,2.1393053021495327,0.08% ZrO2/Poly(vinyl pyrrolidone)
13.157718240909922,2.083019090903004,0.08% ZrO2/Poly(vinyl pyrrolidone)
15.132889694209577,2.0476388133234367,0.08% ZrO2/Poly(vinyl pyrrolidone)
7.084130641486734,5.290746362483014,0.9% ZrO2/Poly(vinyl pyrrolidone)
10.682079138635764,6.401770641293313,0.9% ZrO2/Poly(vinyl pyrrolidone)
13.157718240909922,13.343895245234155,0.9% ZrO2/Poly(vinyl pyrrolidone)
15.132889694209577,1.1139582865930526,0.9% ZrO2/Poly(vinyl pyrrolidone)
7.084130641486734,7.998779101033602,0.7% ZrO2/Poly(vinyl pyrrolidone)
10.682079138635764,7.767139472098096,0.7% ZrO2/Poly(vinyl pyrrolidone)
13.157718240909922,7.681775050606028,0.7% ZrO2/Poly(vinyl pyrrolidone)
15.132889694209577,7.643280673071854,0.7% ZrO2/Poly(vinyl pyrrolidone)
