Strain,Shear Modulus (GPa)
3.3067771848775007,8.048122563121272,polyaniline/PBD
4.444929489674665,7.896121656834853,polyaniline/PBD
5.260501893675791,7.8990584142796445,polyaniline/PBD
9.872520720997365,7.603666435002621,polyaniline/PBD
14.638105826507362,7.4625115333018375,polyaniline/PBD
1,-1.7260756004081679,clay/PBD
2,-1.9375228256470656,clay/PBD
6,-2.300962289993761,clay/PBD
7,-2.3594771380344097,clay/PBD
12,-2.4560479909588167,clay/PBD
0,-4.120745926681289,Talcum/PBD
10,-4.767361943472576,Talcum/PBD
11,-4.798474715169103,Talcum/PBD
15,-4.897961604401738,Talcum/PBD
17,-4.939795391957647,Talcum/PBD
5,6.313506975491559,Cu(HO3PC6H5)2/PBD
10,26.46822114394476,Cu(HO3PC6H5)2/PBD
12,88.67434412493597,Cu(HO3PC6H5)2/PBD
16,291.76800114580783,Cu(HO3PC6H5)2/PBD
17,50.60988516978472,Cu(HO3PC6H5)2/PBD
0.34362095607083587,5.987582878019012,silica nanoparticles/PBD
0.674508099559401,5.8947964487083135,silica nanoparticles/PBD
6.04931858818478,12.250757137704728,silica nanoparticles/PBD
19.540938727703974,-337.6929852240853,silica nanoparticles/PBD
19.665702267452723,158.43156321370617,silica nanoparticles/PBD
