Thickness (µm),Hardness (HV)
0.24468954957237887,5.249575574468834,0.25% 9-anthracenemethanol/PEMA
1.2844837009310028,5.182606221287983,0.25% 9-anthracenemethanol/PEMA
9.092021402583184,7.101088058237993,0.25% 9-anthracenemethanol/PEMA
17.98799187225541,13.287266164577602,0.25% 9-anthracenemethanol/PEMA
0.24468954957237887,-5.036046488764918,0.02% 9-anthracenemethanol/PEMA
1.2844837009310028,-5.253223508540728,0.02% 9-anthracenemethanol/PEMA
9.092021402583184,-5.931487237810656,0.02% 9-anthracenemethanol/PEMA
17.98799187225541,-5.9939084688234,0.02% 9-anthracenemethanol/PEMA
0.24468954957237887,4.301938815441611,0.81% 9-anthracenemethanol/PEMA
1.2844837009310028,4.418643190032685,0.81% 9-anthracenemethanol/PEMA
9.092021402583184,3.863543956616616,0.81% 9-anthracenemethanol/PEMA
17.98799187225541,3.641026476741428,0.81% 9-anthracenemethanol/PEMA
0.24468954957237887,0.6827608482851681,0.19% 9-anthracenemethanol/PEMA
1.2844837009310028,0.34156715842068386,0.19% 9-anthracenemethanol/PEMA
9.092021402583184,0.04664884649735679,0.19% 9-anthracenemethanol/PEMA
17.98799187225541,-0.20885108189003201,0.19% 9-anthracenemethanol/PEMA
0.24468954957237887,0.3059849518472524,0.76% 9-anthracenemethanol/PEMA
1.2844837009310028,0.8751586613369227,0.76% 9-anthracenemethanol/PEMA
9.092021402583184,10.807323772488115,0.76% 9-anthracenemethanol/PEMA
17.98799187225541,542.9046728267239,0.76% 9-anthracenemethanol/PEMA
