Heat Capacity (J/K),Pore Size (nm)
7.7077471363756285,17.341016648000842,0.64% Graphene oxide/Poly(vinyl butyral)
11.91775146409059,52.19702270558502,0.64% Graphene oxide/Poly(vinyl butyral)
12.71218956699155,109.13797465586701,0.64% Graphene oxide/Poly(vinyl butyral)
14.31311154121741,171.00680691769034,0.64% Graphene oxide/Poly(vinyl butyral)
17.328759627968477,358.37285586838493,0.64% Graphene oxide/Poly(vinyl butyral)
7.7077471363756285,1.0445480413351111,0.1% Graphene oxide/Poly(vinyl butyral)
11.91775146409059,1.7206516537594165,0.1% Graphene oxide/Poly(vinyl butyral)
12.71218956699155,1.3671362288998932,0.1% Graphene oxide/Poly(vinyl butyral)
14.31311154121741,-0.15219696301506902,0.1% Graphene oxide/Poly(vinyl butyral)
17.328759627968477,15.471763997871053,0.1% Graphene oxide/Poly(vinyl butyral)
7.7077471363756285,3.3405830784890966,0.78% Graphene oxide/Poly(vinyl butyral)
11.91775146409059,3.265728025817652,0.78% Graphene oxide/Poly(vinyl butyral)
12.71218956699155,3.257193475162317,0.78% Graphene oxide/Poly(vinyl butyral)
14.31311154121741,3.2508665268231676,0.78% Graphene oxide/Poly(vinyl butyral)
17.328759627968477,3.2423091818971574,0.78% Graphene oxide/Poly(vinyl butyral)
7.7077471363756285,18.102041245531723,0.26% Graphene oxide/Poly(vinyl butyral)
11.91775146409059,26.81235699872183,0.26% Graphene oxide/Poly(vinyl butyral)
12.71218956699155,102.55826930803306,0.26% Graphene oxide/Poly(vinyl butyral)
14.31311154121741,21.642854134109413,0.26% Graphene oxide/Poly(vinyl butyral)
17.328759627968477,218.61373494897003,0.26% Graphene oxide/Poly(vinyl butyral)
7.7077471363756285,0.5035146755236815,0.12% Graphene oxide/Poly(vinyl butyral)
11.91775146409059,40.01637881021621,0.12% Graphene oxide/Poly(vinyl butyral)
12.71218956699155,41.73498993132472,0.12% Graphene oxide/Poly(vinyl butyral)
14.31311154121741,119.62977018286394,0.12% Graphene oxide/Poly(vinyl butyral)
17.328759627968477,835.9194959553759,0.12% Graphene oxide/Poly(vinyl butyral)
