vol%,Viscosity (Pa·s)
0,6.650613634305157,PBAT
6,5.972953033947449,PBAT
9,5.923156990865308,PBAT
10,5.908616111799953,PBAT
14,5.867422455315384,PBAT
17,5.85780333012783,PBAT
18,5.856653272793421,PBAT
0,1.0316045009974466,NVE
6,0.18936436770669754,NVE
9,0.07597387531720383,NVE
10,0.07178584662491488,NVE
14,0.033677325201801875,NVE
17,0.023707822176965175,NVE
18,0.02234590625575827,NVE
0,3.533401357266522,Polystyrene
6,5.713978725909915,Polystyrene
9,4.79989195464166,Polystyrene
10,5.646411990909906,Polystyrene
14,9.325593366094052,Polystyrene
17,16.9952468953589,Polystyrene
18,4.834747175150142,Polystyrene
