filler labels,Young’s Modulus (GPa)
4,5.1689786649993295,PANa
7,8.483785816755955,PANa
8,11.121430373695107,PANa
11,34.3296737299191,PANa
13,120.8361778037629,PANa
4,5.9802099909972295,PEG
7,7.304215667746842,PEG
8,5.6773968149041885,PEG
11,9.312773316180067,PEG
13,8.810076307252453,PEG
4,8.656224155601558,Poly(ethylene glycol)
7,8.394951556835709,Poly(ethylene glycol)
8,8.2591204351272,Poly(ethylene glycol)
11,8.21057777065937,Poly(ethylene glycol)
13,8.136538812727073,Poly(ethylene glycol)
4,4.703682861311024,PLA
7,4.516680261608247,PLA
8,4.495996624335095,PLA
11,4.449816634940813,PLA
13,4.429582668124191,PLA
4,7.6917189663270875,PEMA
7,7.49405227155206,PEMA
8,7.473991720741158,PEMA
11,7.34383036773684,PEMA
13,7.30957753330504,PEMA
