Stirring Speed (rpm),Loss Modulus (Pa)
1.9658325427122447,4.339817803892707,Poly(4-vinyl pyridine)
12.555111839635257,3.7556033675530895,Poly(4-vinyl pyridine)
13.546696539105314,3.7514400741164478,Poly(4-vinyl pyridine)
18.58284989738258,3.7379456678357723,Poly(4-vinyl pyridine)
19.574701256829496,3.736817978662258,Poly(4-vinyl pyridine)
1.9658325427122447,0.7566885338272831,EPDM rubber
12.555111839635257,2.2708383658632743,EPDM rubber
13.546696539105314,4.990322170180465,EPDM rubber
18.58284989738258,-7.939009368983425,EPDM rubber
19.574701256829496,11.035749919526735,EPDM rubber
1.9658325427122447,0.5806333227353804,IMPP
12.555111839635257,119.63562169481749,IMPP
13.546696539105314,27.38983557152538,IMPP
18.58284989738258,499.4946914201558,IMPP
19.574701256829496,135.08080265812546,IMPP
1.9658325427122447,-3.651675983544571,PVC
12.555111839635257,-4.272732381139452,PVC
13.546696539105314,-4.323152725020372,PVC
18.58284989738258,-4.41318997053681,PVC
19.574701256829496,-4.426922718736176,PVC
1.9658325427122447,-0.06150939464056415,PTFE
12.555111839635257,-0.48369832343624153,PTFE
13.546696539105314,-0.493298504940429,PTFE
18.58284989738258,-0.5050982285897585,PTFE
19.574701256829496,-0.5059862691771153,PTFE
