Hardness (HV),Flexural Strength (MPa)
3,0.3888431466572781,barium strontium titanate/P(Baph)
14,0.07298699089058454,barium strontium titanate/P(Baph)
16,0.0658079698126828,barium strontium titanate/P(Baph)
0.4772374447260197,2.5086915351963937,Carbon nanofibers/P(Baph)
8.01525217686114,1.8845976021717101,Carbon nanofibers/P(Baph)
12.139141553234253,1.7868399513502713,Carbon nanofibers/P(Baph)
4.63879898408779,6.990285754619718,Na2TiO3/P(Baph)
8.226880938476901,22.187082151395337,Na2TiO3/P(Baph)
18.454808523841365,436.5915521268297,Na2TiO3/P(Baph)
10.53703643134957,23.75347392940123,Carbon black/P(Baph)
10.993716279560298,13.160309894358535,Carbon black/P(Baph)
16.12182772866272,39.614853374743,Carbon black/P(Baph)
10.98737173194009,-5.181013485254869,Cloisite/P(Baph)
14.55461916657773,130.89976770088913,Cloisite/P(Baph)
15.007746927327211,164.51582073761705,Cloisite/P(Baph)
