Mechanical Strength (MPa),Loss Factor
3,-6.4794176126671,0.39% BaTiO3
6,-6.469822836751353,0.39% BaTiO3
13,-6.9759403720485125,0.39% BaTiO3
15,-3.8119106316497033,0.39% BaTiO3
0.8666058142341804,-2.376452678978696,0.36% BaTiO3
2.696403610277358,-1.2176792752186225,0.36% BaTiO3
12.590352558213219,57.401170294729106,0.36% BaTiO3
15.619103640261596,143.27656497803034,0.36% BaTiO3
3,-5.127662916149008,0.8% BaTiO3
10,-5.454154082765724,0.8% BaTiO3
12,-5.478870864654437,0.8% BaTiO3
15,-5.49828105345376,0.8% BaTiO3
1.2890323252519464,-0.6559523104748437,0.41% BaTiO3
4.029289441533878,-0.9283421202036096,0.41% BaTiO3
18.95479200734115,-1.2405239508072174,0.41% BaTiO3
19.316489515518867,-1.2407834443115795,0.41% BaTiO3
