Synthesis Temperature (°C),Loss Modulus (Pa)
1.4151693795709197,4.987492863709024,0.16% Methoxy(dimethyl)octylsilane
8.948988948186809,4.343343411512577,0.16% Methoxy(dimethyl)octylsilane
14.236936897010608,4.283831015187263,0.16% Methoxy(dimethyl)octylsilane
16.393160993042994,4.275437690952417,0.16% Methoxy(dimethyl)octylsilane
1.4151693795709197,-5.630653751869827,0.65% Methoxy(dimethyl)octylsilane
8.948988948186809,-4.279114599474346,0.65% Methoxy(dimethyl)octylsilane
14.236936897010608,-5.287245932670932,0.65% Methoxy(dimethyl)octylsilane
16.393160993042994,-8.164965816807339,0.65% Methoxy(dimethyl)octylsilane
1.4151693795709197,8.236836181373018,0.09% Methoxy(dimethyl)octylsilane
8.948988948186809,7.499720908121543,0.09% Methoxy(dimethyl)octylsilane
14.236936897010608,7.353725018833879,0.09% Methoxy(dimethyl)octylsilane
16.393160993042994,7.288840012226377,0.09% Methoxy(dimethyl)octylsilane
