Filler Content (%),Toughness (MJ/m³)
1.673870278626981,0.11029234023440726,Polyrotaxane
6.251803427630456,-0.3260316255812542,Polyrotaxane
7.203132396561999,-0.3601630530235303,Polyrotaxane
7.923636781013865,-0.37044578566338554,Polyrotaxane
16.407964575953145,-0.46264598122233774,Polyrotaxane
17.054650793928307,-0.46354407660163743,Polyrotaxane
1.673870278626981,4.352091871473121,PBD
6.251803427630456,4.062187275625723,PBD
7.203132396561999,3.9619955387579413,PBD
7.923636781013865,3.9547981815080506,PBD
16.407964575953145,3.6762778654854875,PBD
17.054650793928307,3.6618885510421038,PBD
1.673870278626981,0.5094214808166826,PαMS
6.251803427630456,4.011551728171519,PαMS
7.203132396561999,14.968739212139667,PαMS
7.923636781013865,12.934536854024975,PαMS
16.407964575953145,337.77596499129675,PαMS
17.054650793928307,74.53905451508722,PαMS
1.673870278626981,-4.0084801595950665,Poly(acrylamide)
6.251803427630456,-0.8791713248659665,Poly(acrylamide)
7.203132396561999,0.9487646017378362,Poly(acrylamide)
7.923636781013865,6.930265492169083,Poly(acrylamide)
16.407964575953145,128.88313842808589,Poly(acrylamide)
17.054650793928307,-159.82235103361307,Poly(acrylamide)
1.673870278626981,-2.2380078527364993,PBAT
6.251803427630456,2.519704471819633,PBAT
7.203132396561999,8.113277596309398,PBAT
7.923636781013865,14.158454672841058,PBAT
16.407964575953145,284.42789419858696,PBAT
17.054650793928307,23.501533211473777,PBAT
