Reaction Time (h),Tensile Modulus (GPa)
1,-4.387270572934254,
2,-3.963066409807073,
12,-2.8689079401413893,
16,5.868530830566648,
19,3.9878002056688544,
1,9.727355925157152,
2,10.111585228327364,
12,60.778581677786086,
16,117.96508851023596,
19,274.9397224816968,
1,8.089832762193987,
2,8.063878982080578,
12,7.399255880329107,
16,7.319959011986291,
19,7.26439076223866,
1,0.15790522422239062,
2,-0.020567584916997506,
12,-0.4716524704284191,
16,-0.5790667646957666,
19,-0.6191416612412576,
1,6.080603478324271,
2,7.9019752331660555,
12,42.7187334332915,
16,208.44637741896014,
19,934.6311696856216,
