Thermal Diffusivity (mm²/s),Bond Strength (MPa)
0.4920263468504138,-4.757679569864172,PBuA
1.4664327272293298,-4.821041500518401,PBuA
3.0800109142062793,-3.659622032456338,PBuA
4.559532127331558,-4.485637078762263,PBuA
10.734135163126002,16.463547715568964,PBuA
12.832061044519774,81.72402023696993,PBuA
0.4920263468504138,4.677991090295335,PMMA-PnBA
1.4664327272293298,4.561422145211756,PMMA-PnBA
3.0800109142062793,4.994466813784995,PMMA-PnBA
4.559532127331558,5.17544010718743,PMMA-PnBA
10.734135163126002,6.76187502071532,PMMA-PnBA
12.832061044519774,6.106058798349482,PMMA-PnBA
0.4920263468504138,0.8862433116312747,Nylon 11
1.4664327272293298,0.4960645058819022,Nylon 11
3.0800109142062793,0.011918833473790857,Nylon 11
4.559532127331558,-0.1357769608077195,Nylon 11
10.734135163126002,-0.2811749318546366,Nylon 11
12.832061044519774,-0.30089788988545996,Nylon 11
0.4920263468504138,7.573283743709181,SBR
1.4664327272293298,7.445903842312227,SBR
3.0800109142062793,7.021583860759119,SBR
4.559532127331558,6.820779449733563,SBR
10.734135163126002,6.648451976184395,SBR
12.832061044519774,6.628809254993778,SBR
0.4920263468504138,2.489860029908923,Polyamide-imide
1.4664327272293298,3.1823222732938357,Polyamide-imide
3.0800109142062793,4.390778708219979,Polyamide-imide
4.559532127331558,8.523376644401598,Polyamide-imide
10.734135163126002,22.638498410893874,Polyamide-imide
12.832061044519774,65.15911358706411,Polyamide-imide
