Pressure (Pa),Compression Strength (MPa)
12,-4.794822272276008,PGMA
15,-4.8132365350079205,PGMA
17,-4.8178644143267695,PGMA
19,-4.8212406726308705,PGMA
2,-0.0622777447128291,Poly(methyl acrylate)
4,0.20179008785862051,Poly(methyl acrylate)
5,0.29756888135536563,Poly(methyl acrylate)
10,18.153154019202624,Poly(methyl acrylate)
1,6.22295180753062,PA 6(3)T
12,5.9345879931539685,PA 6(3)T
14,5.890268298091246,PA 6(3)T
19,5.7987738974751695,PA 6(3)T
4.347896053685922,0.656244479601077,Poly(ethyl acrylate)
6.0171698271355245,0.5766542484029691,Poly(ethyl acrylate)
6.850929764833788,0.5698460404877749,Poly(ethyl acrylate)
12.07124095443286,0.451827336111206,Poly(ethyl acrylate)
