Magnetic Field Strength (T),Complex Modulus (Pa)
3.3232274198395073,3.9875258648960417,
13.162659617042918,7.841298046093293,
18.21220787434535,9.911604749427026,
3.3232274198395073,10.321027247109555,
13.162659617042918,80.74307311583947,
18.21220787434535,850.3462374445604,
3.3232274198395073,1.1239626946395518,
13.162659617042918,54.92972482838787,
18.21220787434535,218.2546194980217,
3.3232274198395073,5.660219011507949,
13.162659617042918,5.276480990187722,
18.21220787434535,5.261854851704063,
3.3232274198395073,8.773949413829508,
13.162659617042918,10.912910213493248,
18.21220787434535,-0.6216515549912085,
