Reaction Time (h),Electronic Conductivity (S/m)
4.398907453664959,4.636261159500901,SWCNTs/BXZ
11.520395802068045,48.14336234441887,SWCNTs/BXZ
13.458246635758668,-23.517528481000113,SWCNTs/BXZ
4.398907453664959,0.6347406103834483,carbon nanofibers/BXZ
11.520395802068045,0.40214137519440457,carbon nanofibers/BXZ
13.458246635758668,0.38724824132600366,carbon nanofibers/BXZ
4.398907453664959,-4.592951607345375,Ag/BXZ
11.520395802068045,1.7863236624689591,Ag/BXZ
13.458246635758668,1.1225634568375389,Ag/BXZ
4.398907453664959,-2.113036228484379,graphene nanoribbon/BXZ
11.520395802068045,-2.439798175076059,graphene nanoribbon/BXZ
13.458246635758668,-2.5087868098465345,graphene nanoribbon/BXZ
