Nanoparticle Mass (%),Shear Viscosity (Pa·s)
0.4975600740143915,-1.0698182906300775,NVE
5.636021840426768,-1.778366572148837,NVE
6.188428323992623,-1.8219536666954657,NVE
7.436877869140012,-1.8743250199235728,NVE
7.449575952395233,-1.8583968420410986,NVE
10.73703765025104,-1.9288135643767896,NVE
0.4975600740143915,1.954592671289778,DGEBD
5.636021840426768,1.3441057035309836,DGEBD
6.188428323992623,1.2741537545375758,DGEBD
7.436877869140012,1.2293351227407225,DGEBD
7.449575952395233,1.2377026092910743,DGEBD
10.73703765025104,1.1688878230090836,DGEBD
0.4975600740143915,-5.468225489126252,PαMS
5.636021840426768,-5.879439131486836,PαMS
6.188428323992623,-5.914122975499259,PαMS
7.436877869140012,-5.832542374376818,PαMS
7.449575952395233,-5.860517432325976,PαMS
10.73703765025104,-6.091685152518052,PαMS
0.4975600740143915,-0.252941798329672,P(VDF-CTFE)
5.636021840426768,1.7852262896898403,P(VDF-CTFE)
6.188428323992623,3.6461040109696325,P(VDF-CTFE)
7.436877869140012,15.081582060108339,P(VDF-CTFE)
7.449575952395233,9.126376143920163,P(VDF-CTFE)
10.73703765025104,25.378068423467113,P(VDF-CTFE)
0.4975600740143915,1.342634874123938,Nylon 6
5.636021840426768,0.9647430074642415,Nylon 6
6.188428323992623,0.8723829887548136,Nylon 6
7.436877869140012,0.9040609834189828,Nylon 6
7.449575952395233,0.8538391766504916,Nylon 6
10.73703765025104,0.6989060235045012,Nylon 6
