Crosslinking Density (mol/m³),Complex Modulus (Pa)
0,2.851757787063451,0.83% Paraffin oil/Cyclic olefin copolymer
3,2.2562562331509155,0.83% Paraffin oil/Cyclic olefin copolymer
7,1.9368185322423852,0.83% Paraffin oil/Cyclic olefin copolymer
10,1.85629596515781,0.83% Paraffin oil/Cyclic olefin copolymer
17,1.812362120465651,0.83% Paraffin oil/Cyclic olefin copolymer
18,1.8108715252998693,0.83% Paraffin oil/Cyclic olefin copolymer
19,1.809968609268832,0.83% Paraffin oil/Cyclic olefin copolymer
0,1.872574602284422,0.93% Paraffin oil/Cyclic olefin copolymer
3,1.456217363244492,0.93% Paraffin oil/Cyclic olefin copolymer
7,1.1463639498549543,0.93% Paraffin oil/Cyclic olefin copolymer
10,1.0678224500491746,0.93% Paraffin oil/Cyclic olefin copolymer
17,0.8726208314626512,0.93% Paraffin oil/Cyclic olefin copolymer
18,0.854059940662659,0.93% Paraffin oil/Cyclic olefin copolymer
19,0.8453255698786646,0.93% Paraffin oil/Cyclic olefin copolymer
0,-5.141072582000506,0.62% Paraffin oil/Cyclic olefin copolymer
3,-2.614549951341743,0.62% Paraffin oil/Cyclic olefin copolymer
7,-0.39928141828025954,0.62% Paraffin oil/Cyclic olefin copolymer
10,35.8965257936454,0.62% Paraffin oil/Cyclic olefin copolymer
17,101.75190969313725,0.62% Paraffin oil/Cyclic olefin copolymer
18,-68.24886945163279,0.62% Paraffin oil/Cyclic olefin copolymer
19,200.9429410286231,0.62% Paraffin oil/Cyclic olefin copolymer
