Elongation At Break (%),Heat Capacity (J/K)
1.271651487248393,-3.179347105340577,SWNTs/SBR
2.28497240993468,-3.300365405629399,SWNTs/SBR
8.517898518690183,-3.7610524342773304,SWNTs/SBR
11.45799477452911,-0.5291961731060572,Zinc oxide/SBR
14.18542844181742,-0.5438919866892732,Zinc oxide/SBR
14.870816336226905,-0.5467283596627276,Zinc oxide/SBR
6,-5.246424170289456,Poly(acrylonitrile)/SBR
15,-5.511436839234546,Poly(acrylonitrile)/SBR
17,-5.545145876475202,Poly(acrylonitrile)/SBR
5,7.312920795561614,Magnesium oxide/SBR
14,-43.60808343001884,Magnesium oxide/SBR
18,-295.1419038468005,Magnesium oxide/SBR
