Drying Temperature (°C),Heat Of Crystallization (J/g)
2,5.861052291798722,MoS2/PVP
7,8.1198521728074,MoS2/PVP
14,6.48740122114223,MoS2/PVP
15,9.406235616926974,MoS2/PVP
2,5.7256896549811,MWCNT/PVP
7,5.103747604348783,MWCNT/PVP
14,4.880276767082613,MWCNT/PVP
15,4.854869956613636,MWCNT/PVP
2,0.8829272388568845,GO/PVP
7,0.2860903779542139,GO/PVP
14,0.1735693949364155,GO/PVP
15,0.16946423064541546,GO/PVP
2,6.966326718347782,Ba0.7Sr0.3TiO3/PVP
7,13.480856203735279,Ba0.7Sr0.3TiO3/PVP
14,52.65989292576427,Ba0.7Sr0.3TiO3/PVP
15,119.32829012435042,Ba0.7Sr0.3TiO3/PVP
