Glass Transition Temperature (°C),Modulus Of Elasticity (GPa)
0.09453935241262812,5.483419288575468,0.39% Zinc Oxide
10.820552472323806,-0.14161367289812432,0.39% Zinc Oxide
15.976651185369615,176.03663377448842,0.39% Zinc Oxide
17.598561790228565,409.2589872560142,0.39% Zinc Oxide
0.09453935241262812,7.130663420282802,0.14% Zinc Oxide
10.820552472323806,10.18308275657166,0.14% Zinc Oxide
15.976651185369615,11.373394676280547,0.14% Zinc Oxide
17.598561790228565,18.55547847312912,0.14% Zinc Oxide
0.09453935241262812,-5.64432219825949,0.46% Zinc Oxide
10.820552472323806,21.809064138031008,0.46% Zinc Oxide
15.976651185369615,167.79896846111637,0.46% Zinc Oxide
17.598561790228565,375.7951372045292,0.46% Zinc Oxide
