Stirring Speed (rpm),Reduction Potential (V)
6,-2.038695175011184,Copper(II) phenyl phosphate/EPDM
13,0.3718420970595453,Copper(II) phenyl phosphate/EPDM
14,1.8631129498055676,Copper(II) phenyl phosphate/EPDM
16,0.28120985912763796,Copper(II) phenyl phosphate/EPDM
18,-9.476886209195314,Copper(II) phenyl phosphate/EPDM
6,-7.781059971085145,White mineral oil/EPDM
13,-7.928428643963014,White mineral oil/EPDM
14,-7.931466399256226,White mineral oil/EPDM
16,-7.939535265561133,White mineral oil/EPDM
18,-7.943351901476758,White mineral oil/EPDM
