Holding Time (min),Magnetic Permeability (H/m)
0,7.880718128453375,PBS
2,8.524677740416204,PBS
7,10.594479498347603,PBS
13,-17.483781485217392,PBS
17,413.72133599322507,PBS
0,1.6147036733118707,Poly(BA-a)
2,2.9621409964205694,Poly(BA-a)
7,0.5355623436644099,Poly(BA-a)
13,5.2450872238617965,Poly(BA-a)
17,15.14313333185236,Poly(BA-a)
0,0.4670603112421441,Poly(ether ether ketone)
2,0.1779148205068155,Poly(ether ether ketone)
7,-0.38793704463018397,Poly(ether ether ketone)
13,-0.49602679020406826,Poly(ether ether ketone)
17,-0.5098611241591462,Poly(ether ether ketone)
0,2.644390783741833,PA 6
2,2.5759566368745035,PA 6
7,11.29609184286807,PA 6
13,109.42216235861704,PA 6
17,748.9697601377263,PA 6
