Stress (Pa),Magnetic Susceptibility
0.34755320772997145,8.839849277799996,0.36% Carbon black/DGEBF Epoxy Resin
4.714838340355161,8.410039902850682,0.36% Carbon black/DGEBF Epoxy Resin
7.02027398651393,8.349754008957113,0.36% Carbon black/DGEBF Epoxy Resin
10.737406562526616,8.25575542802652,0.36% Carbon black/DGEBF Epoxy Resin
17.15615164780204,8.096022501732936,0.36% Carbon black/DGEBF Epoxy Resin
17.378231539176074,8.092418776875782,0.36% Carbon black/DGEBF Epoxy Resin
0.04823979678244772,-6.571759384517309,0.23% Carbon black/DGEBF Epoxy Resin
4.727006126462989,-5.8420438066630656,0.23% Carbon black/DGEBF Epoxy Resin
10.44019533144165,-2.765777996668673,0.23% Carbon black/DGEBF Epoxy Resin
15.176609534537109,-3.0342483125565893,0.23% Carbon black/DGEBF Epoxy Resin
16.38782013583883,6.776762229841838,0.23% Carbon black/DGEBF Epoxy Resin
18.7410350193008,-3.975034886597821,0.23% Carbon black/DGEBF Epoxy Resin
0,7.552294071721602,0.91% Carbon black/DGEBF Epoxy Resin
2,7.294885400926674,0.91% Carbon black/DGEBF Epoxy Resin
10,7.119167255886091,0.91% Carbon black/DGEBF Epoxy Resin
12,7.0381806437901,0.91% Carbon black/DGEBF Epoxy Resin
14,6.973273391766204,0.91% Carbon black/DGEBF Epoxy Resin
19,6.8867979124726055,0.91% Carbon black/DGEBF Epoxy Resin
0,7.964498252659387,0.89% Carbon black/DGEBF Epoxy Resin
6,8.21405868836966,0.89% Carbon black/DGEBF Epoxy Resin
9,10.810080163031762,0.89% Carbon black/DGEBF Epoxy Resin
11,10.624856960369808,0.89% Carbon black/DGEBF Epoxy Resin
14,8.013070514774043,0.89% Carbon black/DGEBF Epoxy Resin
18,4.991504325744379,0.89% Carbon black/DGEBF Epoxy Resin
3.934080418035406,-0.7063180144353409,0.1% Carbon black/DGEBF Epoxy Resin
7.830189036314701,1.096990709431994,0.1% Carbon black/DGEBF Epoxy Resin
10.2931726290143,1.2498364109276596,0.1% Carbon black/DGEBF Epoxy Resin
12.829927396647973,-0.09578687606296388,0.1% Carbon black/DGEBF Epoxy Resin
14.280842130515325,3.736337629507556,0.1% Carbon black/DGEBF Epoxy Resin
15.017760841630178,-2.679812416931288,0.1% Carbon black/DGEBF Epoxy Resin
