Glass Transition Temperature (°C),Crystallization Temperature (°C)
4,0.949090530155058,0.48% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
13,0.49566655178065244,0.48% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
14,0.4579970508650281,0.48% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
17,0.40092542163900213,0.48% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
4,2.7925446162489576,0.16% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
6,2.700123207952969,0.16% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
13,2.5465276287309777,0.16% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
15,2.5374352754026304,0.16% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
5,3.546162857346946,0.61% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
12,21.897159363954785,0.61% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
13,20.2550593863538,0.61% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
17,-120.42643112383792,0.61% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
4.370196883153355,6.482929624932888,0.97% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
6.330681214253271,6.410878656109421,0.97% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
8.68986761890378,6.330468097483126,0.97% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
9.934987659718411,6.312502678476324,0.97% Multi-wall carbon nanotubes/Poly(ethyl methacrylate)
