Ultrasound Power (W),Oxidation Potential (V)
5.113247114244864,-1.9513299822304764,0.05% CCTO/SAN24
9.67503068715256,-2.0916031526503818,0.05% CCTO/SAN24
9.725930273156942,-2.0947910744609253,0.05% CCTO/SAN24
11.61899739926266,-2.1199227221004735,0.05% CCTO/SAN24
5.113247114244864,-2.079925776400705,0.55% CCTO/SAN24
9.67503068715256,-2.2503060078775152,0.55% CCTO/SAN24
9.725930273156942,-2.245858145157282,0.55% CCTO/SAN24
11.61899739926266,-2.267841442802454,0.55% CCTO/SAN24
5.113247114244864,5.924666904832025,0.14% CCTO/SAN24
9.67503068715256,5.537464897400751,0.14% CCTO/SAN24
9.725930273156942,5.608348085000692,0.14% CCTO/SAN24
11.61899739926266,5.566576517108603,0.14% CCTO/SAN24
