Pore Size (nm),Zero-shear Viscosity (Pa·s)
2.2454815426279717,3.4799819387198947,0.26% C60/Polyrotaxane
4.995689258531204,6.8187697336090105,0.26% C60/Polyrotaxane
5.688247700386713,7.402819571785586,0.26% C60/Polyrotaxane
7.69749452504638,8.938019496584817,0.26% C60/Polyrotaxane
2.2454815426279717,-5.906172144346326,0.85% C60/Polyrotaxane
4.995689258531204,-5.985472465706337,0.85% C60/Polyrotaxane
5.688247700386713,-4.963143645441969,0.85% C60/Polyrotaxane
7.69749452504638,-5.5042650901765855,0.85% C60/Polyrotaxane
2.2454815426279717,0.748185322515853,0.24% C60/Polyrotaxane
4.995689258531204,4.593771728805452,0.24% C60/Polyrotaxane
5.688247700386713,4.472370648802044,0.24% C60/Polyrotaxane
7.69749452504638,8.792928780549836,0.24% C60/Polyrotaxane
2.2454815426279717,-1.6423100467009515,0.59% C60/Polyrotaxane
4.995689258531204,-1.936790433725773,0.59% C60/Polyrotaxane
5.688247700386713,-1.960944892519347,0.59% C60/Polyrotaxane
7.69749452504638,-2.0557135486629217,0.59% C60/Polyrotaxane
2.2454815426279717,-4.209483609013849,0.11% C60/Polyrotaxane
4.995689258531204,-4.424405471606808,0.11% C60/Polyrotaxane
5.688247700386713,-4.339212278879268,0.11% C60/Polyrotaxane
7.69749452504638,-4.5418227169152905,0.11% C60/Polyrotaxane
