Particle Density,Remanence (A/m)
9.14499993436264,19.117136979714335,Bentonite clay/PHFP
12.9252822738143,51.094448676694796,Bentonite clay/PHFP
13.94593721937385,48.08737166101845,Bentonite clay/PHFP
4.208504399302509,7.556335487152309,AuNPs/PHFP
12.560416173765763,30.04789235677402,AuNPs/PHFP
19.53882949415309,-76.59549521938062,AuNPs/PHFP
1,5.715871531764276,graphene platelets/PHFP
7,4.951654010357215,graphene platelets/PHFP
15,4.663146713325366,graphene platelets/PHFP
0.5384305804284883,1.0547899805085321,exfoliated graphene/PHFP
7.162518728348902,0.14022105329028411,exfoliated graphene/PHFP
8.71795860780949,1.0882745172661732,exfoliated graphene/PHFP
