Incubation Temperature (°C),Tensile Strength (MPa)
4,7.3498293884677555,cellulose nanowhiskers/PB-1
8,14.456308835843766,cellulose nanowhiskers/PB-1
12,84.78791612999376,cellulose nanowhiskers/PB-1
16,169.85573428381954,cellulose nanowhiskers/PB-1
17,230.6354350159983,cellulose nanowhiskers/PB-1
4,-2.776733195330791,Bentonite/PB-1
8,-3.0503937153623584,Bentonite/PB-1
12,-3.2502841569633274,Bentonite/PB-1
16,-3.334523618039682,Bentonite/PB-1
17,-3.3683088204928877,Bentonite/PB-1
4,6.015683864103342,silica nanoparticles/PB-1
8,12.097049376158374,silica nanoparticles/PB-1
12,15.937187888770179,silica nanoparticles/PB-1
16,104.58980914692384,silica nanoparticles/PB-1
17,308.2573309063397,silica nanoparticles/PB-1
