Storage Time (days),Remanence (A/m)
0.7793773160842488,3.38741252346737,PEEK
1.3103407309595316,3.1586637667357014,PEEK
16.422473357813015,2.6611726682098182,PEEK
17.856529974972783,2.6340971352673526,PEEK
0.7793773160842488,5.977393500994303,VER
1.3103407309595316,5.9753073686225076,VER
16.422473357813015,211.29354822510473,VER
17.856529974972783,919.936072943282,VER
0.7793773160842488,8.86461018781851,ABS
1.3103407309595316,9.113678232009,ABS
16.422473357813015,8.179458649596011,ABS
17.856529974972783,8.160557006094386,ABS
0.7793773160842488,5.9197604772389,Poly(butyl acrylate)
1.3103407309595316,5.9040960154596664,Poly(butyl acrylate)
16.422473357813015,5.2498706583405985,Poly(butyl acrylate)
17.856529974972783,5.247578266432636,Poly(butyl acrylate)
0.7793773160842488,-3.695276032163249,PLA
1.3103407309595316,-3.4304265350707297,PLA
16.422473357813015,-4.072314229260185,PLA
17.856529974972783,-4.096838505150469,PLA
