Nanoparticle Mass (%),Shear Modulus (GPa)
3.107251921542087,4.647618616654938,UPR
3.2870167642802484,5.447789290203687,UPR
6.307852386807697,7.758209043940752,UPR
7.3851036851818535,9.171920717755814,UPR
15.64844101378517,220.64600144141383,UPR
2.747246558537373,3.074721163224549,BR
2.807019108481945,3.703837971468037,BR
7.428402544168209,11.300170854330474,BR
14.667554380614733,210.9851499999569,BR
17.90202518954078,177.68097561418827,BR
7,5.48328549335988,PB-1
8,5.446059556814777,PB-1
9,5.441144164826794,PB-1
15,5.381483603069096,PB-1
18,5.374672653961427,PB-1
0,7.33032207509817,Polybutadiene
4,10.118225189275474,Polybutadiene
5,12.374794839526597,Polybutadiene
10,24.184365048280156,Polybutadiene
14,61.332476964961955,Polybutadiene
1.1756692753424147,0.6834452087661487,Fluoroelastomer
10.07542758554483,22.086295658513976,Fluoroelastomer
10.433520872876533,6.22128016771747,Fluoroelastomer
14.435614751673016,-3.1487957333957954,Fluoroelastomer
16.95285923720745,153.30687465029249,Fluoroelastomer
