Reaction Temperature (°C),Viscosity (Pa·s)
0.2077125697804605,2.889216619753007,Polyetherketoneketone
4.938170428311983,3.799023190848426,Polyetherketoneketone
18.229358779579865,10.724234909356799,Polyetherketoneketone
0.2077125697804605,-4.515894741898805,PANa
4.938170428311983,-4.220246020886789,PANa
18.229358779579865,10.672713834263352,PANa
0.2077125697804605,1.8278447075717348,Poly(ethyl methacrylate)
4.938170428311983,1.3951670370525173,Poly(ethyl methacrylate)
18.229358779579865,1.056802236280573,Poly(ethyl methacrylate)
0.2077125697804605,-2.6919857541875936,Poly(ethylene glycol)
4.938170428311983,-1.290470991471246,Poly(ethylene glycol)
18.229358779579865,7.9665031684949135,Poly(ethylene glycol)
