Curing Time (min),Tan Delta
7,9.189832017670781,MWNT/P(BA-a)
13,13.319067472119382,MWNT/P(BA-a)
17,9.752061027458927,MWNT/P(BA-a)
7,-5.518653292641967,titanium dioxide/P(BA-a)
13,-5.625492333963278,titanium dioxide/P(BA-a)
17,-5.640094478030603,titanium dioxide/P(BA-a)
7,-2.5542003318575266,cellulose nanocrystal/P(BA-a)
13,0.4232324475080551,cellulose nanocrystal/P(BA-a)
17,0.3735340181004272,cellulose nanocrystal/P(BA-a)
7,4.4048223720892,Cloisite/P(BA-a)
13,4.202253439632695,Cloisite/P(BA-a)
17,4.089953250837948,Cloisite/P(BA-a)
