Pore Size (nm),Oxidation Potential (V)
5.19905445920198,-1.2807113296258466,Poly(butyl acrylate)
7.439487276143366,-1.3502396179608906,Poly(butyl acrylate)
15.113155422843601,-1.4558106599643381,Poly(butyl acrylate)
15.47217487993975,-1.4571974402258336,Poly(butyl acrylate)
19.119841125583196,-1.463688045708453,Poly(butyl acrylate)
5.19905445920198,-2.4615393894980113,Polyrotaxane
7.439487276143366,-2.941459559275358,Polyrotaxane
15.113155422843601,0.0932845189356657,Polyrotaxane
15.47217487993975,-2.7392807213953203,Polyrotaxane
19.119841125583196,12.792037586968608,Polyrotaxane
5.19905445920198,-4.036761400730386,PAN
7.439487276143366,-1.5315485821533255,PAN
15.113155422843601,-2.14257431502792,PAN
15.47217487993975,0.3877624025359294,PAN
19.119841125583196,12.836963947178091,PAN
5.19905445920198,1.4543995527415463,Poly(acrylic acid)
7.439487276143366,1.2530549082417435,Poly(acrylic acid)
15.113155422843601,1.0783702741289993,Poly(acrylic acid)
15.47217487993975,1.0425689420050004,Poly(acrylic acid)
19.119841125583196,0.9922537195255363,Poly(acrylic acid)
