Nanoparticle Mass (%),Charge Transfer Resistance (Ω·m²)
3.2536761517231683,5.926165467704514,Epoxy novolac viny ester resin
8.133387034811177,5.6572181727178705,Epoxy novolac viny ester resin
8.904313447912163,5.595560068725781,Epoxy novolac viny ester resin
16.54817665010883,5.383220886448915,Epoxy novolac viny ester resin
3.2536761517231683,-5.662786528314207,Polybenzimidazole
8.133387034811177,-4.991099571096532,Polybenzimidazole
8.904313447912163,-5.316120267551353,Polybenzimidazole
16.54817665010883,-3.0369263029989,Polybenzimidazole
3.2536761517231683,6.433325839624107,Poly(acrylonitrile)
8.133387034811177,6.14233424648872,Poly(acrylonitrile)
8.904313447912163,6.133093017778093,Poly(acrylonitrile)
16.54817665010883,6.071159688695739,Poly(acrylonitrile)
3.2536761517231683,7.222643817931553,PAN
8.133387034811177,16.23141936114026,PAN
8.904313447912163,21.943840951385443,PAN
16.54817665010883,120.55569903756307,PAN
3.2536761517231683,-3.96368649602613,PBS
8.133387034811177,-2.5898583899417136,PBS
8.904313447912163,-0.13905377090043824,PBS
16.54817665010883,-6.993257494943957,PBS
