Heat Treatment Time (h),Passivation Current Density (A/m²)
0.5384921103198859,8.5042383265869,Poly(benzoxazine)
5.911207421138826,14.208333361447833,Poly(benzoxazine)
15.432957221114393,87.40884257178516,Poly(benzoxazine)
18.741553567725475,-67.52997725605857,Poly(benzoxazine)
0.9673562516137535,-0.6347229341400895,Nylon 11
4.028547684754615,-0.784827725361513,Nylon 11
12.157709595213273,1.5980878540727415,Nylon 11
18.67831446683599,26.716995068215528,Nylon 11
10.495563749477414,22.243451240808298,PCTFE
13.249239734180026,47.54190932681482,PCTFE
13.782034573557818,21.91849217304098,PCTFE
15.119905415954252,94.32064758132721,PCTFE
3,2.9660730828599493,Poly(acrylonitrile)
4,1.6045360885128823,Poly(acrylonitrile)
7,3.479241373276833,Poly(acrylonitrile)
15,3.788854626756891,Poly(acrylonitrile)
0,-2.5571143130642047,PETP
1,-2.7684199516962735,PETP
13,2.3696114870078624,PETP
19,0.49719924038967633,PETP
