Thickness (µm),Decomposition Temperature (°C)
5.364040764538149,-4.082212462485529,TiNT/PBuA
6.095282845538497,-6.246677461905856,TiNT/PBuA
9.533653077036913,-4.6897045858456625,TiNT/PBuA
5.364040764538149,8.602285598267049,Calcium carbonate/PBuA
6.095282845538497,9.517893443157893,Calcium carbonate/PBuA
9.533653077036913,10.708189746893702,Calcium carbonate/PBuA
5.364040764538149,4.370759409203565,Al2O3/PBuA
6.095282845538497,7.840645931300608,Al2O3/PBuA
9.533653077036913,19.75634488612117,Al2O3/PBuA
5.364040764538149,-1.7218175716390844,polyaniline/PBuA
6.095282845538497,-1.6859682809959273,polyaniline/PBuA
9.533653077036913,-1.8212907697844618,polyaniline/PBuA
