Annealing Temperature (°C),Viscosity (Pa·s)
0.2845735513282599,1.6064305387400373,Poly(acrylonitrile)
8.370098621949964,0.8235491219370594,Poly(acrylonitrile)
13.72951088033882,0.5646157236987567,Poly(acrylonitrile)
14.231430493491207,0.5410293064948501,Poly(acrylonitrile)
18.449970722866237,0.46887357447808387,Poly(acrylonitrile)
0.2845735513282599,-6.445541788932123,PA 12
8.370098621949964,-6.709431574386018,PA 12
13.72951088033882,-6.836410387906177,PA 12
14.231430493491207,-6.863430807861997,PA 12
18.449970722866237,-6.943355718625185,PA 12
0.2845735513282599,-5.034570803261147,Poly(styrene-co-acrylonitrile)
8.370098621949964,-4.0677621922798854,Poly(styrene-co-acrylonitrile)
13.72951088033882,3.265081607571057,Poly(styrene-co-acrylonitrile)
14.231430493491207,1.8008261522904538,Poly(styrene-co-acrylonitrile)
18.449970722866237,-4.101854343787537,Poly(styrene-co-acrylonitrile)
