Rotational Speed (rpm),Electrical Resistivity (Ω·m)
5.724698589882069,7.7645412636786855,PB-1
6.260130728572011,16.558946143471193,PB-1
6.800435188841534,10.988538315911837,PB-1
7.200104381233407,9.317986023262378,PB-1
15.193250203007203,36.959393104739405,PB-1
5.724698589882069,-0.3337939267206185,VER
6.260130728572011,2.393284453274373,VER
6.800435188841534,-0.35407933926641455,VER
7.200104381233407,1.4244338289549408,VER
15.193250203007203,-16.032308570120932,VER
5.724698589882069,4.662210342192023,XNBR
6.260130728572011,4.648672500074218,XNBR
6.800435188841534,4.628861894472808,XNBR
7.200104381233407,4.57363866783775,XNBR
15.193250203007203,4.311019218726506,XNBR
5.724698589882069,-1.1945602415307714,PA 6
6.260130728572011,-1.210305976040333,PA 6
6.800435188841534,-1.2766531467359958,PA 6
7.200104381233407,-1.265349540142939,PA 6
15.193250203007203,-1.3699644511299252,PA 6
