Aging Time (h),Thermal Expansion (1/K)
6.16761746323786,10.405666780386877,
14.486252742152889,139.7876510082938,
17.217358893208086,55.2701739327107,
10.276561340005575,-3.9992565776440427,
13.151470913564046,0.7804885765897573,
14.17237792469063,-7.943068575893889,
3,8.01884809832161,
10,7.700420240783863,
16,7.6577394054403225,
2.144831373342242,2.2165379214200867,
5.194742920351503,2.149520065172773,
7.470862372443028,1.9092200679973226,
0,7.594859481562466,
4,7.122954725459655,
9,6.828631215694228,
