Volume Fraction,Crystallization Temperature (°C)
0,-6.243774064229143,rGO/Poly(ethylene)
1,-6.402827705227622,rGO/Poly(ethylene)
6,-6.958663583398483,rGO/Poly(ethylene)
8,-7.0553783189196455,rGO/Poly(ethylene)
16,-7.130108550208332,rGO/Poly(ethylene)
0,-5.735057068266214,Zirconium dioxide/Poly(ethylene)
1,-5.5801428200376035,Zirconium dioxide/Poly(ethylene)
6,-3.8365302420404204,Zirconium dioxide/Poly(ethylene)
8,-4.066336244000684,Zirconium dioxide/Poly(ethylene)
16,0.12127228721119998,Zirconium dioxide/Poly(ethylene)
0,4.638125324561326,Fluorine mica/Poly(ethylene)
1,4.793953308449982,Fluorine mica/Poly(ethylene)
6,4.926967641303648,Fluorine mica/Poly(ethylene)
8,3.496111184973803,Fluorine mica/Poly(ethylene)
16,12.799137271963161,Fluorine mica/Poly(ethylene)
0,-5.755652779106233,barium strontium titanate/Poly(ethylene)
1,-6.049418006092009,barium strontium titanate/Poly(ethylene)
6,-6.569153036131615,barium strontium titanate/Poly(ethylene)
8,-6.640692648616846,barium strontium titanate/Poly(ethylene)
16,-6.746421044409944,barium strontium titanate/Poly(ethylene)
