Strain,Compressive Modulus (GPa)
3.1698414115474227,2.3847736984809007,TPP/Cyclic olefin copolymer
5.004985072722037,2.2851880241886637,TPP/Cyclic olefin copolymer
17.349770034811314,1.054688589863626,TPP/Cyclic olefin copolymer
3.1698414115474227,0.8102239721052227,silica gel/Cyclic olefin copolymer
5.004985072722037,5.629651561142847,silica gel/Cyclic olefin copolymer
17.349770034811314,117.08557496549771,silica gel/Cyclic olefin copolymer
3.1698414115474227,6.386091116798185,Lead(II) sulfide/Cyclic olefin copolymer
5.004985072722037,6.409384033637073,Lead(II) sulfide/Cyclic olefin copolymer
17.349770034811314,328.16897213549737,Lead(II) sulfide/Cyclic olefin copolymer
3.1698414115474227,1.7849259634621526,TiNTs/Cyclic olefin copolymer
5.004985072722037,2.20645945988021,TiNTs/Cyclic olefin copolymer
17.349770034811314,357.9846080332569,TiNTs/Cyclic olefin copolymer
3.1698414115474227,4.002319915397013,Calcium carbonate/Cyclic olefin copolymer
5.004985072722037,7.735288843824336,Calcium carbonate/Cyclic olefin copolymer
17.349770034811314,-28.351352394729922,Calcium carbonate/Cyclic olefin copolymer
