Film Thickness (µm),Hardness (HV)
10,-7.0526998655042705,0.36% MoS2
11,-7.0651462071262525,0.36% MoS2
13,-7.078665677340987,0.36% MoS2
15,-7.0874915174052475,0.36% MoS2
10,24.91812024733737,0.2% MoS2
11,15.964201528910747,0.2% MoS2
13,34.37996261601374,0.2% MoS2
15,163.22640676214175,0.2% MoS2
10,2.0431737552771234,0.1% MoS2
11,2.011783850933808,0.1% MoS2
13,1.933835873072753,0.1% MoS2
15,1.8936777379204937,0.1% MoS2
10,-3.9525810142417104,0.48% MoS2
11,-3.878368492717058,0.48% MoS2
13,-4.994412453374437,0.48% MoS2
15,-2.1095992317320755,0.48% MoS2
