Crystallinity (%),Particle Size Distribution
6,-1.1496309822846849,Paraffin oil/DGEBF Epoxy Resin
7,-3.394673037442276,Paraffin oil/DGEBF Epoxy Resin
8,-1.6229523412173137,Paraffin oil/DGEBF Epoxy Resin
15,0.4927082266714491,Paraffin oil/DGEBF Epoxy Resin
18,4.183183491637445,Paraffin oil/DGEBF Epoxy Resin
6,5.125027863917627,Alumina/DGEBF Epoxy Resin
7,5.064765249727969,Alumina/DGEBF Epoxy Resin
8,5.003367057896049,Alumina/DGEBF Epoxy Resin
15,4.815977800139466,Alumina/DGEBF Epoxy Resin
18,4.752682998958769,Alumina/DGEBF Epoxy Resin
6,-0.45150529351272395,FeO/DGEBF Epoxy Resin
7,-0.18102106446709598,FeO/DGEBF Epoxy Resin
8,0.6257389344358302,FeO/DGEBF Epoxy Resin
15,4.314163813336121,FeO/DGEBF Epoxy Resin
18,10.359811685862486,FeO/DGEBF Epoxy Resin
