Calcination Temperature (°C),Surface Area (m²/g)
1,6.218081968279635,multi-wall carbon nanotubes/COC
8,5.5113064317449165,multi-wall carbon nanotubes/COC
9,5.4821202434412735,multi-wall carbon nanotubes/COC
12,5.44925347924465,multi-wall carbon nanotubes/COC
14,5.4395625207600204,multi-wall carbon nanotubes/COC
17,5.429950202502273,multi-wall carbon nanotubes/COC
19,5.427225384084027,multi-wall carbon nanotubes/COC
1,8.302804029847964,expandable graphite/COC
8,17.284743260017027,expandable graphite/COC
9,26.511058896445576,expandable graphite/COC
12,73.37878446572151,expandable graphite/COC
14,56.19606982174199,expandable graphite/COC
17,67.01437250622628,expandable graphite/COC
19,1145.4407363266546,expandable graphite/COC
1,2.675669205630446,calcium copper titanate/COC
8,2.0775266653831976,calcium copper titanate/COC
9,2.038670373361376,calcium copper titanate/COC
12,1.9478256397490838,calcium copper titanate/COC
14,1.8914454537737622,calcium copper titanate/COC
17,1.810573276098145,calcium copper titanate/COC
19,1.7861973009676353,calcium copper titanate/COC
1,1.8712914210981415,calcium copper titanate/COC
8,1.4211994141291409,calcium copper titanate/COC
9,1.359700945934701,calcium copper titanate/COC
12,1.2512693757609907,calcium copper titanate/COC
14,1.1763142558684647,calcium copper titanate/COC
17,1.1367500260778916,calcium copper titanate/COC
19,1.1035216526664426,calcium copper titanate/COC
1,0.07772441289919862,SWCNT/COC
8,-0.2255889071443079,SWCNT/COC
9,-0.36258082993153423,SWCNT/COC
12,-0.4752724452514512,SWCNT/COC
14,-0.5157721892217876,SWCNT/COC
17,-0.5800335953140867,SWCNT/COC
19,-0.612939638662068,SWCNT/COC
