Thermal Diffusivity (mm²/s),Young’s Modulus (GPa)
3.875571027477478,5.7498586071144135,0.01% SWNT
8.387008599846615,7.856642297896268,0.01% SWNT
15.573753040139273,181.79735166436637,0.01% SWNT
17.489846894401513,282.96130140785743,0.01% SWNT
19.441301757703787,85.90454948363654,0.01% SWNT
3.875571027477478,8.118097806726183,0.27% SWNT
8.387008599846615,15.484863524584068,0.27% SWNT
15.573753040139273,70.5117444486218,0.27% SWNT
17.489846894401513,340.9387507166162,0.27% SWNT
19.441301757703787,861.8384147604312,0.27% SWNT
3.875571027477478,6.2361484772144475,0.58% SWNT
8.387008599846615,15.84433504683015,0.58% SWNT
15.573753040139273,132.5965786750275,0.58% SWNT
17.489846894401513,-59.308005566658565,0.58% SWNT
19.441301757703787,1091.5825377993765,0.58% SWNT
3.875571027477478,3.2795147970282303,0.97% SWNT
8.387008599846615,3.0664121278196843,0.97% SWNT
15.573753040139273,2.7713976295565477,0.97% SWNT
17.489846894401513,2.7254179517258756,0.97% SWNT
19.441301757703787,2.7008146550176617,0.97% SWNT
3.875571027477478,4.2111252542939175,0.48% SWNT
8.387008599846615,3.866378838131518,0.48% SWNT
15.573753040139273,1.8348251621143294,0.48% SWNT
17.489846894401513,12.114749838536866,0.48% SWNT
19.441301757703787,3.287719467814801,0.48% SWNT
