Dielectric Loss,Flexural Strength (MPa)
2.3317349578502866,6.323836011892114,1.0% White spirits
3.9108117422824518,6.644854197430041,1.0% White spirits
8.70573566387371,6.2528485567280105,1.0% White spirits
9.551409082408899,6.243175266523568,1.0% White spirits
9.85928836993139,6.281526033968104,1.0% White spirits
10.391003995297519,6.207330159080628,1.0% White spirits
2.3317349578502866,-6.5380871415460575,0.94% White spirits
3.9108117422824518,-7.144276562279951,0.94% White spirits
8.70573566387371,-6.503069186343115,0.94% White spirits
9.551409082408899,-7.0839940081673,0.94% White spirits
9.85928836993139,-4.1482157664458565,0.94% White spirits
10.391003995297519,-4.383407999516583,0.94% White spirits
