Decomposition Temperature (°C),Charge Transfer Resistance (Ω·m²)
4,11.155110267216774,Epoxy novolac viny ester resin
10,13.660030759731658,Epoxy novolac viny ester resin
14,12.074520434377426,Epoxy novolac viny ester resin
15,421.81862241558446,Epoxy novolac viny ester resin
16,132.46465438283602,Epoxy novolac viny ester resin
4,5.182051454823021,Nylon 12
10,5.9242092805483235,Nylon 12
14,10.674751387912313,Nylon 12
15,7.241671388648605,Nylon 12
16,16.227884604159733,Nylon 12
4,1.6961651851144253,PTrFE
10,1.4070177017791607,PTrFE
14,1.2904731541131482,PTrFE
15,1.2907103448069797,PTrFE
16,1.2372169900176018,PTrFE
4,4.147627245838481,P2VP
10,6.135433389969757,P2VP
14,6.148681400986593,P2VP
15,6.708715654691842,P2VP
16,3.432349684359173,P2VP
4,-5.590164775967451,PAN
10,-5.8605203777003085,PAN
14,-5.904267133984275,PAN
15,-5.907341728833353,PAN
16,-5.910802635406379,PAN
