Loading Concentration (%),Peel Strength (N/m)
11,-1.7269909338674,PU
13,-0.8406399718021351,PU
17,6.055306783270629,PU
18,0.38178855897365604,PU
11,-6.644661489396397,PS-I
13,-6.662100480036275,PS-I
17,-6.674593697115856,PS-I
18,-6.676484956495662,PS-I
11,46.317090122263906,Poly(2-vinyl pyridine)
13,43.225829488891335,Poly(2-vinyl pyridine)
17,-22.860786586224958,Poly(2-vinyl pyridine)
18,365.2643247983985,Poly(2-vinyl pyridine)
11,2.21853814825248,PEEK
13,3.5732881029073393,PEEK
17,4.486173414085677,PEEK
18,-0.2687727188530653,PEEK
11,5.070297051682379,Poly(vinyl butyral)
13,106.21175697502889,Poly(vinyl butyral)
17,-11.294748752031284,Poly(vinyl butyral)
18,325.0518035361335,Poly(vinyl butyral)
