Magnetic Field Strength (T),Flexural Modulus (GPa)
5.449070454265643,6.9509295934830915,triglycidyl para-aminophenol
6.440870901356579,6.925070099256697,triglycidyl para-aminophenol
14.164457801294981,6.771194910842464,triglycidyl para-aminophenol
16.315817016486772,6.765085174544772,triglycidyl para-aminophenol
5.449070454265643,0.18292756069843247,PC
6.440870901356579,0.09606371003261568,PC
14.164457801294981,-0.002360319022120607,PC
16.315817016486772,-0.008682114664663447,PC
5.449070454265643,7.270928468162783,EPDM rubber
6.440870901356579,7.401645520127807,EPDM rubber
14.164457801294981,7.0484138021605,EPDM rubber
16.315817016486772,7.00640721413407,EPDM rubber
5.449070454265643,3.624717074367497,S-SEBS
6.440870901356579,3.582945346834322,S-SEBS
14.164457801294981,3.4307368788545873,S-SEBS
16.315817016486772,3.4230905077067626,S-SEBS
5.449070454265643,5.49695619309753,PCTFE
6.440870901356579,5.4326997647269115,PCTFE
14.164457801294981,5.308360000439469,PCTFE
16.315817016486772,5.300951726566975,PCTFE
