Dispersing Time (min),Coefficient Of Thermal Expansion (1/K)
2,0.20379549154129784,
5,0.318060605575309,
7,1.293148281785684,
8,1.6516340777241232,
11,-0.13148881911336563,
18,5.594250034177957,
0,7.479491850422033,
4,6.9924123352105205,
6,6.9778414888397196,
9,6.839690940147021,
15,6.655252343291432,
16,6.636720535280725,
2.665412209505973,0.8449855578738369,
3.4577834358147364,0.8458627769047372,
6.282645529234401,0.5228211396308939,
12.74253963800831,0.3013850093970045,
13.294408741849,0.30031975056502874,
14.077183522475003,0.2671938988811752,
1,3.338841434358936,
9,30.9725978099299,
10,5.134127912640151,
11,17.180517842094694,
14,-28.353203343296002,
16,187.32007468632457,
