Ultrasound Time (min),Hysteresis Loss (J/m³)
7.386320138752285,-4.421236926102915,Poly(4-vinyl pyridine)
8.39822230293591,-4.439277502921754,Poly(4-vinyl pyridine)
9.09631492068968,-4.457466005244293,Poly(4-vinyl pyridine)
12.231077361773707,-4.4979464225039205,Poly(4-vinyl pyridine)
12.85782832631739,-4.500954282387373,Poly(4-vinyl pyridine)
7.386320138752285,-1.7726455749993415,PMA
8.39822230293591,-1.794690486036516,PMA
9.09631492068968,-1.805706929646284,PMA
12.231077361773707,-1.8517769689906673,PMA
12.85782832631739,-1.8553191812411685,PMA
