Glass Transition Temperature (°C),Glass Transition Temperature (°C)
6,-5.792123021491414,Polyamide-imide
12,-5.7319163588598405,Polyamide-imide
14,-5.0983123346478045,Polyamide-imide
17,-11.383867338143691,Polyamide-imide
19,7.458627565471714,Polyamide-imide
6,4.931041866524477,SAN24
12,4.759983503891185,SAN24
14,4.702877376237856,SAN24
17,4.6235663513032765,SAN24
19,4.595549621235101,SAN24
6,-1.0878707826945604,Thermoplastic polyurethane
12,-1.3317022128458058,Thermoplastic polyurethane
14,-1.3798381421076107,Thermoplastic polyurethane
17,-1.4265914997889726,Thermoplastic polyurethane
19,-1.4644291761357728,Thermoplastic polyurethane
6,5.643368999659273,S-SEBS
12,5.538647157861645,S-SEBS
14,5.522592891417848,S-SEBS
17,5.514056213504889,S-SEBS
19,5.5114982060679365,S-SEBS
