Reaction Time (h),Zero-shear Viscosity (Pa·s)
6.022985557644969,7.822222719513764,silicone
9.107716356668798,7.780783219786726,silicone
9.912232736989758,7.621691669160105,silicone
15.814939803991681,7.513929115454851,silicone
17.062249857530414,7.491713280296249,silicone
18.538161816690113,7.460638536971352,silicone
6.022985557644969,7.77935301488511,Poly(4-vinyl pyridine)
9.107716356668798,24.715723667230726,Poly(4-vinyl pyridine)
9.912232736989758,22.024337440401208,Poly(4-vinyl pyridine)
15.814939803991681,129.49554436147585,Poly(4-vinyl pyridine)
17.062249857530414,145.65742463535636,Poly(4-vinyl pyridine)
18.538161816690113,434.4442179811405,Poly(4-vinyl pyridine)
6.022985557644969,1.0990366585119506,Poly(4-vinyl pyridine)
9.107716356668798,0.8876336517706864,Poly(4-vinyl pyridine)
9.912232736989758,0.7634569736894701,Poly(4-vinyl pyridine)
15.814939803991681,-90.6207795473857,Poly(4-vinyl pyridine)
17.062249857530414,181.56542769082967,Poly(4-vinyl pyridine)
18.538161816690113,12.565892793182377,Poly(4-vinyl pyridine)
