Reaction Time (h),Complex Viscosity (Pa·s)
8,-7.88469651233488,0.17% TiO2
9,-7.892746222074486,0.17% TiO2
10,-7.927969588576706,0.17% TiO2
14,-7.9558245703956985,0.17% TiO2
8,9.136413750248002,0.07% TiO2
9,8.15115992718764,0.07% TiO2
10,7.782086552200941,0.07% TiO2
14,16.458336700913698,0.07% TiO2
8,1.4469062404452224,0.52% TiO2
9,1.4186736421045603,0.52% TiO2
10,1.367082526591231,0.52% TiO2
14,1.2167669588874381,0.52% TiO2
8,16.73810408894459,0.83% TiO2
9,26.59218954466099,0.83% TiO2
10,43.562921075079245,0.83% TiO2
14,148.0090249594851,0.83% TiO2
