Reaction Time (h),Hardness (HV)
1,-4.345460351826025,0.12% Multi-wall carbon nanotubes
2,-3.922227751162678,0.12% Multi-wall carbon nanotubes
7,-3.0702202369938907,0.12% Multi-wall carbon nanotubes
8,-0.9227854637363766,0.12% Multi-wall carbon nanotubes
11,-0.8143719407449082,0.12% Multi-wall carbon nanotubes
1,1.750058202464121,0.91% Multi-wall carbon nanotubes
2,1.6944415148825283,0.91% Multi-wall carbon nanotubes
7,1.2698230387080516,0.91% Multi-wall carbon nanotubes
8,1.2461427027690892,0.91% Multi-wall carbon nanotubes
11,1.1865116461820262,0.91% Multi-wall carbon nanotubes
