Film Thickness (µm),X-ray Diffraction Intensity
3.904792014848657,-1.3549211184621324,PPSU
4.81900772315541,-1.3985720707351603,PPSU
9.645730360504146,-1.5566713322785994,PPSU
13.924185195077436,-1.6034087180817276,PPSU
3.904792014848657,0.4129674282406388,P(VDF-CTFE)
4.81900772315541,-0.21219307182373393,P(VDF-CTFE)
9.645730360504146,0.8912066204412419,P(VDF-CTFE)
13.924185195077436,4.47686383736459,P(VDF-CTFE)
3.904792014848657,-6.319925751497093,Poly(alpha-methylstyrene)
4.81900772315541,-6.474109794158569,Poly(alpha-methylstyrene)
9.645730360504146,-6.5872888167247385,Poly(alpha-methylstyrene)
13.924185195077436,-6.617029263961692,Poly(alpha-methylstyrene)
3.904792014848657,3.779935670082617,PMS
4.81900772315541,3.761709611494157,PMS
9.645730360504146,3.54394754968262,PMS
13.924185195077436,3.5110453533894455,PMS
