Thermal Diffusivity (mm²/s),Magnetic Anisotropy (J/m³)
2,8.530789680921217,Poly(acrylonitrile)/Poly(vinylidene fluoride)
5,8.482681340238337,Poly(acrylonitrile)/Poly(vinylidene fluoride)
11,40.94214496000868,Poly(acrylonitrile)/Poly(vinylidene fluoride)
14,24.263909894663826,Poly(acrylonitrile)/Poly(vinylidene fluoride)
19,552.3952074368312,Poly(acrylonitrile)/Poly(vinylidene fluoride)
2,-0.689099988847228,Thermal black/Poly(vinylidene fluoride)
5,0.5321826814912489,Thermal black/Poly(vinylidene fluoride)
11,6.113929021980203,Thermal black/Poly(vinylidene fluoride)
14,180.5431819128403,Thermal black/Poly(vinylidene fluoride)
19,493.37582323390876,Thermal black/Poly(vinylidene fluoride)
2,1.0455626446761481,C60/Poly(vinylidene fluoride)
5,0.6956899721371049,C60/Poly(vinylidene fluoride)
11,0.48893479924304223,C60/Poly(vinylidene fluoride)
14,0.3708053962744138,C60/Poly(vinylidene fluoride)
19,0.2766707590092185,C60/Poly(vinylidene fluoride)
2,4.577262057192075,Cellulose/Poly(vinylidene fluoride)
5,4.383072176584743,Cellulose/Poly(vinylidene fluoride)
11,4.182380244554566,Cellulose/Poly(vinylidene fluoride)
14,4.164166691349531,Cellulose/Poly(vinylidene fluoride)
19,4.152366087307039,Cellulose/Poly(vinylidene fluoride)
2,7.345857995435851,cellulose nanowhiskers/Poly(vinylidene fluoride)
5,8.722317325230474,cellulose nanowhiskers/Poly(vinylidene fluoride)
11,8.949416824509138,cellulose nanowhiskers/Poly(vinylidene fluoride)
14,12.390181558417769,cellulose nanowhiskers/Poly(vinylidene fluoride)
19,13.10610573264643,cellulose nanowhiskers/Poly(vinylidene fluoride)
