Volume Fraction,Charge Transfer Resistance (Ω·m²)
0.07057297300038679,2.05345026758355,PTFCE
3.415562097514855,1.3527674119332103,PTFCE
10.135400351835031,1.0289535766921147,PTFCE
0.07057297300038679,8.577697592586592,Poly(2-hydroxyethyl acrylate)
3.415562097514855,8.240738390358858,Poly(2-hydroxyethyl acrylate)
10.135400351835031,7.997779007988403,Poly(2-hydroxyethyl acrylate)
0.07057297300038679,5.381118865688009,Poly(2-vinyl pyridine)
3.415562097514855,4.405581992117236,Poly(2-vinyl pyridine)
10.135400351835031,4.150713891773977,Poly(2-vinyl pyridine)
0.07057297300038679,0.5167541084211855,Poly(propylene)
3.415562097514855,2.793375270578661,Poly(propylene)
10.135400351835031,19.906204936364645,Poly(propylene)
