Filler Content (%),Magnetoresistance
5.127624153016555,5.366661883770752,Poly(vinyl alcohol)/DGEBD
9.665234040218973,5.199522821039547,Poly(vinyl alcohol)/DGEBD
19.56227076967646,5.148031007275754,Poly(vinyl alcohol)/DGEBD
5.127624153016555,5.019359325020719,Barium titanate/DGEBD
9.665234040218973,2.642829622438167,Barium titanate/DGEBD
19.56227076967646,0.9441342909930412,Barium titanate/DGEBD
5.127624153016555,1.121658937425106,Dodecylbenzenesulfonic acid/DGEBD
9.665234040218973,1.6676826682177919,Dodecylbenzenesulfonic acid/DGEBD
19.56227076967646,9.530151484860122,Dodecylbenzenesulfonic acid/DGEBD
5.127624153016555,-7.621126050861078,Methoxy(dimethyl)octylsilane/DGEBD
9.665234040218973,-7.790580063872655,Methoxy(dimethyl)octylsilane/DGEBD
19.56227076967646,-7.850140852857773,Methoxy(dimethyl)octylsilane/DGEBD
