Gamma Radiation Dose (Gy),Glass Transition Temperature (°C)
3,2.069049951485717,single-walled CNT/PGMA
15,1.6645277583342597,single-walled CNT/PGMA
16,1.6488575003970052,single-walled CNT/PGMA
3,2.168514239890098,Al2O3/PGMA
15,14.056428560264514,Al2O3/PGMA
16,9.199865311959114,Al2O3/PGMA
3,4.86933007910537,Dodecylbenzenesulfonic acid/PGMA
15,4.407864749574901,Dodecylbenzenesulfonic acid/PGMA
16,4.38088886237425,Dodecylbenzenesulfonic acid/PGMA
3,-4.235315749023136,Fe2O3/PGMA
15,-4.499937366836792,Fe2O3/PGMA
16,-4.502927229641386,Fe2O3/PGMA
