Evaporation Temperature (°C),Decomposition Temperature (°C)
5,-5.392514645823968,PVAc
12,-5.786054601197222,PVAc
18,-0.16525840387711632,PVAc
5,3.8690080233428157,Polyamide-imide
12,3.6914410800155006,Polyamide-imide
18,3.527665766578951,Polyamide-imide
5,2.1119084492995963,PBA-a
12,43.25415387516418,PBA-a
18,186.79845033874219,PBA-a
5,-2.489918279677916,bisphenol-A phthalonitrile resin
12,25.113108611841728,bisphenol-A phthalonitrile resin
18,752.6564098687223,bisphenol-A phthalonitrile resin
