Volume Fraction (%),Polarization Resistance (Ω·m²)
0,5.271904721041313,
10,7.678164095057647,
11,7.044657538524187,
14,8.23399056263824,
0,8.622237303283137,
10,9.45204052471856,
11,11.701325024803097,
14,13.32930956876886,
0,7.8405358128398905,
10,7.276384582712619,
11,7.234916080665688,
14,7.178088953122347,
0,0.5105722187167506,
10,-0.16066726061746928,
11,-0.17012465947571936,
14,-0.1957170909646746,
0,1.5045164620660665,
10,0.6310593589562277,
11,0.5743574924996877,
14,0.501054462241037,
